Let's try anyway.,とにかくやってみよう。
attend a workshop.,研修会に参加する
The event was successful.,そのイベントは成功だった。
a new employee at Tex Corporation,テックス社の新入社員
Our business is expanding.,当社の事業は拡大しています。
one free copy of the book,無料の本一冊
The hotel is close to the airport.,そのホテルは空港に近い。
a weekly magazine,週刊誌
I prefer to work part-time.,私はパートタイムで働く方が好きです。
Please sign in at the front desk.,受付で署名してください。
Let's take a break.,休憩しましょう。
an important document,重要な書類
the third quarter,第3四半期
a department head,部門長
cat,猫
fish,魚
book,本
dog,犬
car,車
bike,自転車
go,行く
hobby,趣味
panda,パンダ
horse,馬
rion,ライオン
orfevre,オルフェーブル
業,カルマ
狂詩曲,ラプソディ
狂想曲,カプリチオ
ラーメン荘(六甲道),歴史を刻め
ラーメン荘(西宮),これが好きだから
ラーメン荘(大東),おもしろい方へ
ラーメン荘(伏見),地球規模で考えろ
夜桜四重奏,よざくらカルテット
C3,シーキューブ
D.C.,ダ・カーポ
新妹魔王の契約者,しんまいまおうのテスタメント
絶対ナル孤独者,ゼッタイナルアイソレータ
十三,じゅうそう
三田,みた
板宿,いたやど
夙川,しゅくがわ
西中島南方,にしなかじまみなみがた
放出,はなてん
柴島,くにしま
喜連瓜破,きれうりわり
御幣島,みてじま
鴫野,しぎの
枚岡,ひらおか
萱島,かやしま
布忍,ぬのせ
弥刀,みと
河堀口,こぼれぐち
紅魔郷,こうまきょう
妖々夢,ようようむ
永夜抄,えいやしょう
花映塚,かえいづか
風神録,ふうじんろく
地霊殿,ちれいでん
粟生,あお
相生,あいおい
OIOI,まるい
4℃,よんどしー
fc2,ファンタスティッククピクピ
SM2,サマンサモスモス
NVIDIA,エヌビディア
ACER,エイサー
ASUS,エイスース
Adam et Rope',アダム　エ　ロぺ
agnes b.,アグニス　べー
alice auaa,アリス　アウアア
A.A.R,アール
DES PRES,デ　プレ
ete,エテ
ff,フフ
gomme,ゴム
I・n・e,インエ
n°44,ナンバー　ヨンジュウヨン
佐々木未来,ささきみこい
茅原実里,ちはらみのり
茅野愛衣,かやのあい
東山奈央,とうやまなお
松来未祐,まつきみゆ
宍粟,しそう
gif,ギフ
Alt,オルト
exe,エグゼ
Airbnb,エイビーアンドビー
IEEE,アイトリプルイー
Xi,クロッシィ
